Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
AAVEUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,4.747805868572708,2,50.0,18,3,3,5,8,23,32,45,50,7,33,5,4,10,True
AAVEUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-2.3692843555229826,1,0.0,18,1,2,4,13,20,17,25,140,7,33,5,6,11,False
AAVEUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.9774661508703986,1,100.0,18,1,3,3,7,24,18,43,80,10,28,5,6,12,True
AAVEUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,4.211721603937746,1,100.0,18,4,4,5,11,19,23,35,90,9,37,5,5,18,True
AAVEUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,3.749765506372249,2,50.0,18,1,2,3,5,20,26,35,80,9,37,5,4,9,True
AAVEUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.039294629623864985,1,0.0,16,3,2,4,14,13,33,25,70,11,34,5,3,8,False
AAVEUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,3.8682531676731857,7,100.0,19,3,7,6,11,24,17,37,70,7,33,4,2,13,False
AAVEUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-2.530950653203834,1,0.0,19,3,5,4,10,16,15,29,100,7,38,5,2,9,True
AAVEUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.5896921306550738,3,100.0,19,3,7,5,13,21,33,37,80,17,33,2,7,19,True
AAVEUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.48294240113708753,2,50.0,13,2,5,5,12,18,21,27,160,13,29,2,5,15,True
AAVEUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,11,1,4,3,12,17,15,31,70,15,31,1,2,18,True
AAVEUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,1.6025084412647717,1,0.0,19,4,4,3,5,14,18,27,160,12,39,1,7,16,True
AAVEUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.2135157084348203,1,100.0,8,3,7,8,11,12,32,27,50,19,38,4,2,17,True
AAVEUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,2.831898670633781,2,100.0,15,1,2,7,11,17,16,35,90,8,32,1,5,5,True
AAVEUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,7.163863815989879,1,100.0,19,2,5,3,8,21,23,43,150,11,33,5,2,10,False
AAVEUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,0.9952325187176481,6,83.33333333333334,16,3,2,3,6,20,15,25,50,17,38,1,5,16,True
AAVEUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,19,4,3,3,13,12,29,49,100,13,32,1,6,12,False
AAVEUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,9.323530966081407,4,75.0,17,2,2,3,7,17,30,39,110,8,39,3,6,13,True
AAVEUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,3.1000275544623923,1,100.0,17,2,6,5,6,17,30,33,50,8,34,4,2,17,False
AAVEUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,1.213047992344829,1,0.0,17,3,2,4,13,10,31,49,50,7,25,5,4,6,False
AAVEUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,17,1,2,6,5,12,29,39,60,17,36,5,2,6,False
AAVEUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-1.0413796433547895,2,50.0,17,2,7,3,12,12,33,37,70,13,35,5,4,8,False
AAVEUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,12.831540842612664,2,100.0,19,2,5,4,5,22,32,47,110,12,33,5,2,5,True
AAVEUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,5.259989281846633,4,100.0,19,2,3,4,7,21,33,41,60,10,34,4,4,19,True
AAVEUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,0.98958578207331,2,100.0,19,3,2,4,7,19,15,43,110,9,29,5,2,7,False
AAVEUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,1.3603418716987559,4,75.0,16,3,7,3,6,10,29,47,160,11,37,5,2,9,False
