Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
SOLUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,7.234057948412165,4,100.0,19,1,2,7,13,16,20,47,50,11,36,4,2,9,False
SOLUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,4.977302785652005,1,100.0,19,1,2,3,5,17,17,39,90,8,34,5,4,18,False
SOLUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,2.061455913039345,3,100.0,18,1,5,5,5,24,20,37,60,8,35,5,2,11,False
SOLUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-1.876608531240942,1,0.0,19,4,3,3,13,22,25,41,170,8,33,5,7,19,False
SOLUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,6.418156597557845,3,66.66666666666666,19,2,4,4,5,11,20,35,100,7,38,5,6,5,True
SOLUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,10.256211656059811,2,100.0,19,1,3,8,7,21,18,41,50,15,37,5,3,7,False
SOLUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-3.3904747952480663,2,50.0,16,4,3,3,7,11,27,25,50,7,36,4,6,18,True
SOLUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,4.807457058577791,1,0.0,18,3,7,8,6,22,22,27,120,7,39,4,7,5,False
SOLUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,4.133021339283349,1,100.0,19,1,6,8,7,24,25,43,70,10,35,5,4,13,True
SOLUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.38616569297831305,2,50.0,11,2,5,6,13,15,26,43,50,9,23,3,2,12,False
SOLUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,1.6112934112110233,3,66.66666666666666,19,3,4,5,12,16,28,41,110,10,34,3,4,18,True
SOLUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-6.743625737440739,1,0.0,19,1,4,3,8,13,26,31,60,16,35,5,2,18,False
SOLUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.42509912363042357,1,100.0,16,4,6,6,11,18,21,33,170,20,34,5,2,14,True
SOLUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,1.624759270773657,2,100.0,19,4,5,5,7,20,16,47,110,9,37,4,2,15,True
SOLUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.6766522727513111,1,100.0,17,1,2,6,12,12,16,39,120,8,29,5,2,18,True
SOLUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-1.7436625722405341,1,0.0,19,4,3,4,8,11,15,25,70,18,39,1,4,12,True
SOLUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.2947719326760634,1,100.0,14,4,7,9,14,14,20,43,130,10,32,3,2,10,True
SOLUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,19,3,3,7,13,16,19,33,140,16,26,1,4,6,False
SOLUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.553567701804103,1,100.0,18,3,7,3,7,22,22,45,120,10,21,1,6,10,False
SOLUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.0,0,0,15,4,4,8,6,11,32,35,60,18,24,4,3,7,False
SOLUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.38883310788184744,1,100.0,16,2,7,3,10,14,16,37,150,8,31,2,4,5,True
SOLUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-0.023211448760374065,2,50.0,17,2,2,6,12,22,29,25,180,8,36,5,2,15,False
SOLUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,1.91563133855297,2,100.0,17,1,6,3,5,19,28,37,60,11,35,5,3,5,True
SOLUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,0.34969549893992813,2,50.0,16,4,5,5,11,13,25,37,50,10,35,5,6,9,True
